step,lambda
506000,14.413139488636348
6824000,15.783046477272707
81904000,6.115213821438352
2120000,15.252714943820209
2907000,15.426040227272713
89501000,10.975842642488686
23744000,17.477080677966082
88588000,6.666931485694439
48852000,14.049102852061063
10672000,14.654147657142843
67916000,3.912012513858265
77588000,5.463794067246375
50046000,21.739373584905657
42561000,22.450547281105987
90209000,8.831924779411766
86374000,11.468770969243243
69269000,3.715756125952377
50188000,22.356951999999996
87773000,7.384503285535715
77854000,6.31368419679245
81198000,5.033187968187129
80070000,7.437630085575537
26837000,18.69064915254234
46470000,22.351538271604948
97395000,14.10453091463414
52572000,11.950865839714313
63414000,4.29097344396825
40927000,15.902401562499996
52759000,11.684636793913073
84001000,4.921065517668154
75337000,3.9453793883333272
77149000,5.147577423863632
91305000,9.458042543356166
29214000,19.64740057142854
44278000,15.771311937438409
99442000,12.77785562043795
15593000,9.471577453212431
58372000,5.673848161126121
18771000,15.783047159090893
67140000,4.293827568769226
90807000,8.779055158730158
90236000,8.80017276119403
51304000,23.77262365591399
38329000,15.9627847677931
17166000,16.269030813953467
12170000,14.439030225988692
56706000,5.631469916757984
8294000,15.146792571428557
16750000,16.26678551724136
98856000,13.361309353344469
11215000,14.454651193181805
23369000,17.634501022727253
47729000,21.956046153846167
31274000,10.069549249851482
67268000,4.125223819999995
93684000,11.406092661870503
51438000,23.5421788888889
1385000,14.722201502890158
90161000,8.982346250000004
76870000,5.050073828959997
81380000,4.772711275107909
9421000,14.95474457142856
15624000,9.471577453212431
30514000,9.430287260154634
86581000,11.09937953699482
3573000,15.774743522727256
91074000,8.897345925925924
51524000,23.379819780219787
45682000,15.900024168168304
99297000,12.713857956204372
86241000,11.433437503404253
44662000,15.901727074999986
1673000,14.653675141242921
19220000,16.082031609195383
68683000,7.351572229310344
74119000,13.969457719866666
23905000,17.401271885714262
64884000,4.111892387054261
93917000,11.894298251748248
36223000,20.866489333333305
34820000,20.869236241610714
90278000,8.911368333333332
40240000,15.590688135593219
85597000,5.336729989999998
42414000,21.867749565217387
8723000,14.986009545454532
3776000,16.09014384180789
79179000,7.494096865928569
54518000,1.1615367445299185
36983000,10.009505061562498
58757000,2.9943775506557317
74548000,13.670288613881578
77305000,4.968244159599996
14100000,14.612398373205723
5779000,15.480788571428558
35656000,21.049736486486463
55940000,15.521944613698995
3139000,15.622737371428553
81134000,5.27367452571428
98934000,12.767189489051091
42262000,21.615089230769208
24511000,17.701868457142837
94224000,11.689930987407394
88492000,7.5890424137903185
98220000,13.300172423190778
71420000,20.294120212765936
11079000,14.462954147727256
46665000,21.828379012345692
54153000,1.139310173220343
94573000,10.133395267355084
36298000,21.14553999999998
